epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2754.43,1.23632,1.34255,1.37385,0.85716,0.88235,0.90545,0.70718,0.89998,0.92211,0.93987,0.000990365,0.000990365,0.000990365
43,2818.9,1.1924,1.30358,1.34574,0.87141,0.84457,0.8591,0.68704,0.95593,1.09412,0.90821,0.000973861,0.000973861,0.000973861
44,2883.43,1.24648,1.36592,1.36989,0.90069,0.8195,0.90628,0.6722,1.10025,1.0127,0.98197,0.000957358,0.000957358,0.000957358
45,2947.63,1.22404,1.40745,1.39348,0.87735,0.86765,0.89203,0.65209,0.98126,1.03865,0.98513,0.000940855,0.000940855,0.000940855
46,3011.69,1.14959,1.27742,1.32763,0.88772,0.94812,0.93787,0.66058,1.09351,0.94858,1.03687,0.000924352,0.000924352,0.000924352
47,3076.02,1.2163,1.27926,1.35358,0.89707,0.8778,0.91275,0.7051,1.00381,0.9594,1.01508,0.000907848,0.000907848,0.000907848
48,3140.43,1.21016,1.28669,1.34925,0.89384,0.82353,0.92532,0.74924,0.88223,0.8561,0.92804,0.000891345,0.000891345,0.000891345
49,3205,1.17408,1.29838,1.32362,0.90675,0.82142,0.89585,0.65724,1.04241,1.09545,1.01495,0.000874842,0.000874842,0.000874842
50,3269.72,1.19182,1.29489,1.34588,0.84542,0.83401,0.86142,0.63559,1.25496,1.32595,1.26919,0.000858338,0.000858338,0.000858338
51,3334.73,1.1733,1.24979,1.34406,0.82346,0.86839,0.88289,0.65976,0.92168,0.99423,0.94579,0.000841835,0.000841835,0.000841835
52,3399.8,1.1803,1.22448,1.35994,0.84862,0.83198,0.90388,0.68,0.9775,0.95144,0.96647,0.000825332,0.000825332,0.000825332
53,3465.29,1.1741,1.27412,1.34943,0.85682,0.85294,0.89924,0.67375,0.92699,0.95236,0.96989,0.000808828,0.000808828,0.000808828
54,3531.02,1.20357,1.24203,1.35659,0.94219,0.85282,0.92533,0.71074,0.87631,0.84895,0.91415,0.000792325,0.000792325,0.000792325
55,3596.61,1.16522,1.20856,1.32952,0.94755,0.86765,0.91816,0.69469,0.98232,0.92229,0.9644,0.000775822,0.000775822,0.000775822
56,3661.77,1.12918,1.17756,1.3156,0.74519,0.82955,0.80639,0.61583,0.87419,1.14092,0.96243,0.000759318,0.000759318,0.000759318
57,3727.64,1.12981,1.20091,1.30086,0.74211,0.82793,0.87544,0.66979,0.94926,1.12101,0.96128,0.000742815,0.000742815,0.000742815
58,3793.93,1.17926,1.20732,1.34841,0.8775,0.83309,0.93422,0.75575,0.82806,0.88381,0.91705,0.000726312,0.000726312,0.000726312
